beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
India Pale Ale Nelson Sauvin,The Kernel Brewery,IPA - International,American IPA,7.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,,2017-05-11 23:31:41,England,London,London,82,29
360,Cervezas La Virgen,Lager - Pale,Lager - Pale,5.5,35,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-05-11 23:32:50,Spain,Las Rozas,Madrid,82,29
Califia,Trzech Kumpli,IPA - American,American IPA,7.0,70,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-05-11 23:38:32,Poland,Tarnow,Tarnow,82,29
Gamma Ray,Beavertown,Pale Ale - American,Pale Ale,5.4,45,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-05-14 00:18:01,England,Tottenham Hale,London,82,29
Hobgoblin Legendary Ruby Beer,Wychwood Brewery,Brown Ale - English,Brown Ale,5.2,32,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.0,2017-05-14 00:36:10,England,Witney,Oxfordshire,82,29
Imperial Red IPA,Cervezas Arriaca,IPA - Red,American IPA,8.5,99,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,2.75,2017-05-14 00:38:50,Spain,19210 Yunquera de Henares,Guadalajara,82,29
Cañonera,Cervezas La Virgen,IPA - Session / India Session Ale,American IPA,4.5,70,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.0,2017-05-14 19:47:25,Spain,Las Rozas,Madrid,82,29
Ægir India Pale Ale,Ægir Bryggeri,IPA - American,American IPA,6.5,65,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-05-14 19:48:22,Norway,Flåm,Aurland,82,29
Horse Piss,La Calavera,Sour - Ale,Sour,4.6,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,2.0,2017-05-14 20:30:42,Spain,17500 Ripoll,Gerona,82,29
Pan IPAni,Trzech Kumpli,IPA - White,American IPA,6.0,45,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-05-14 21:20:15,Poland,Tarnow,Tarnow,82,29
Hophorn,Hornbeer,IPA - Imperial / Double Black,Imperial IPA,9.3,118,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.0,2017-05-14 21:22:58,Denmark,Kirke Hyllinge,Sjælland,82,29
Punk IPA,BrewDog,IPA - American,American IPA,5.6,45,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.0,2017-05-17 21:24:35,Scotland,Ellon,Aberdeenshire,83,29
